general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,14S.PS.p,2399424,2399424,36,2.9,53.44,0.07,54,101,2000000,0,1.9,0,0,0,0,0.01,0.03,2.9
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL076,1560308,1560308,35.9,3.06,53.36,0.24,53,101,1560308,0,5.76,0,0,0,0,0.08,0.01,2.7
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL077,1301679,1301679,35.9,2.32,55.69,0.1,53,101,1301679,0,5.13,0,0,0,0,0.07,0,2.49
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL078,1544119,1544119,34.8,2.17,56.39,0.12,53,101,1544119,0,5.77,0,0,0,0,0.01,0.08,2.19
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL079,2287335,2287335,34.4,1.53,57.39,0.05,53,101,2000000,0,6.07,0,0,0,0,0.08,0.01,2.06
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL080,1626367,1626367,33.8,1.76,61.21,0.05,53,101,1626367,0,4.95,0,0,0,0,0.01,0.05,2.04
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL081,813017,813017,35.8,1.98,59.85,0.09,53,101,813017,0,6.29,0,0,0,0,0.03,0,2.22
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL082,1053968,1053968,35.8,2.48,57.06,0.12,53,101,1053968,0,4.72,0,0,0,0,0.01,0.01,2.64
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL083,524328,524328,35.6,2.25,63.83,0.07,53,101,524328,0,3.36,0,0,0,0,0.04,0.01,2.31
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL151,1769390,1769390,35.9,3.13,55.4,0.25,54,101,1769390,0,1.29,0,0,0,0,0.04,0.01,3.11
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL152,1469697,1469697,36,2.8,56.76,0.15,53,101,1469697,0,1.85,0,0,0,0,0.06,0.02,2.8
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL153,1750502,1750502,35,2.81,58.21,0.14,53,101,1750502,0,1.18,0,0.03,0,0,0.06,0,2.88
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL155,1586858,1586858,35.8,4.14,56.94,0.38,54,101,1586858,0,1.83,0,0.01,0,0,0.08,0.03,4.45
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL156,2641842,2641842,33.4,1.21,62.52,0.03,53,101,2000000,0,1.6,0,0,0,0.01,0.08,0.04,1.91
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL157,1296604,1296604,35.9,3.56,57.73,0.27,54,101,1296604,0,1.56,0,0.01,0,0,0.08,0.03,3.92
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL159,1295548,1295548,36,3.24,56.79,0.2,54,101,1295548,0,2.27,0,0,0,0,0.02,0.03,3.08
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL160,1331714,1331714,36,3.2,59.8,0.19,54,101,1331714,0,1.19,0,0,0,0,0.04,0.04,3.59
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL161,1521666,1521666,35.1,3.21,58.68,0.19,54,101,1521666,0,1.07,0,0.01,0,0,0.02,0.04,3.46
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL162,1429714,1429714,35.8,3.12,59.04,0.2,54,101,1429714,0,1.16,0,0,0,0,0.07,0.01,3.62
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL163,1444113,1444113,35.8,3.22,56.1,0.29,53,101,1444113,0,2.05,0,0,0,0,0.07,0.01,3.66
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL164,1923769,1923769,33.4,1.2,64.53,0.04,53,101,1923769,0,0.89,0,0,0,0,0.03,0.02,1.99
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL165,1040708,1040708,35.9,3.48,64.05,0.24,54,101,1040708,0,0.8,0,0.01,0,0,0.01,0.06,3.98
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL166,1283985,1283985,35.8,4.74,60.93,0.62,54,101,1283985,0,1.02,0,0,0,0,0.06,0.02,4.53
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL167,1172787,1172787,36,3.78,59.57,0.56,54,101,1172787,0,1.08,0,0,0,0,0,0.06,3.74
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL168,1045918,1045918,36,2.99,59.37,0.25,54,101,1045918,0,1.53,0,0,0,0,0.02,0.03,3.52
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL169,1153661,1153661,35.7,3.53,59.73,0.44,54,101,1153661,0,1.02,0,0.02,0,0,0.07,0.01,3.23
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL170,1076366,1076366,35.9,4.57,60.9,0.45,54,101,1076366,0,0.81,0,0.01,0,0,0.03,0.01,4.37
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL171,1013069,1013069,35.9,4.29,60.93,0.51,54,101,1013069,0,1.47,0,0.01,0,0,0.08,0.02,4.49
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL172,1457256,1457256,35,2.42,62.16,0.17,54,101,1457256,0,0.93,0,0,0,0,0.05,0.01,2.61
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL173,841178,841178,35.9,4.39,62.2,0.41,54,101,841178,0,1.36,0,0,0,0,0,0.05,4.81
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL174,1035051,1035051,35.9,4.29,62.23,0.52,54,101,1035051,0,0.88,0,0,0,0,0.07,0.01,4.54
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL175,1348002,1348002,35.9,4.09,63.08,0.3,54,101,1348002,0,0.9,0,0,0.14,0,0.08,0.02,4.02
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL176,1165878,1165878,36,3.22,58.17,0.18,53,101,1165878,0,1.43,0,0.01,0.04,0,0.04,0.05,3.45
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL177,1247535,1247535,35,3.13,63.62,0.22,54,101,1247535,0,1.08,0,0.04,0.01,0,0.04,0,2.98
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL178,1084605,1084605,35.9,2.84,62.7,0.21,54,101,1084605,0,1.09,0,0,0.07,0,0.03,0.03,2.89
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL179,1241255,1241255,35.8,3.82,58.48,0.31,53,101,1241255,0,1.49,0,0,0.05,0,0.03,0.02,3.66
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL180,1701438,1701438,34.6,2.32,58.38,0.13,53,101,1701438,0,1.21,0,0,0.01,0,0.06,0.02,2.45
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL181,965066,965066,35.9,4.04,61.2,0.27,54,101,965066,0,0.92,0,0.01,0.05,0,0.05,0.04,4.37
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL182,1178495,1178495,36,3.84,64.19,0.24,54,101,1178495,0,1.18,0,0,0.04,0,0,0.06,4.17
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL183,1163952,1163952,35.9,3.82,58.36,0.49,54,101,1163952,0,1.45,0,0,0,0,0.01,0,4.26
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL186,1061069,1061069,36,3.53,59.73,0.3,54,101,1061069,0,1.12,0,0.01,0,0,0.05,0,3.38
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL187,1307153,1307153,36,2.92,59.19,0.39,53,101,1307153,0,2.17,0,0,0,0,0.09,0,3.39
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL188,1135948,1135948,36,2.7,59.46,0.3,53,101,1135948,0,1.36,0,0.01,0,0,0.09,0.03,3.28
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL191,1404378,1404378,35.8,3.08,57.66,0.27,53,101,1404378,0,0.81,0,0,0,0,0.03,0.04,3.25
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL192,1888015,1888015,34.8,2.34,65.03,0.14,55,101,1888015,0,0.9,0,0,0,0,0.07,0.06,2.88
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL193,959179,959179,35.9,3.96,61.3,0.45,54,101,959179,0,1.35,0,0.05,0,0,0.07,0.02,4.17
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL196,1419202,1419202,36,2.23,60.23,0.16,54,101,1419202,0,1.47,0,0,0,0,0.06,0.03,2.51
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL197,1581851,1581851,35.3,3.47,62.39,0.46,54,101,1581851,0,1.32,0,0.01,0,0.01,0.06,0.04,3.77
Kimball_Project_002,101,190730_A00223_0174_BHCN5GDRXX,18BL198,1575668,1575668,35.7,3.59,55.45,0.32,54,101,1575668,0,1.11,0,0,0,0,0.01,0.05,3.45
