general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,14S.PS.p,406448,406448,35.5,2.9,68.95,0.06,54,101,406448,0,1.8,0,95.33,0,0,0,0,0.07,2.8
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL076,765375,765375,35.4,3.31,61.22,0.25,53,101,765375,0,5.41,0,91.15,0,0,0,0.04,0,3.4
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL077,677370,677370,35.4,2.5,62.77,0.11,53,101,677370,0,5.09,0,92.57,0,0,0,0.02,0.01,2.31
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL078,589236,589236,34.2,2.17,67.55,0.1,53,101,589236,0,5.52,0,92.21,0,0,0,0.03,0.02,2.22
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL079,674732,674732,33.7,1.39,69.41,0.04,52,101,674732,0,5.7,0,92.28,0.01,0,0,0.03,0.02,1.96
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL080,542302,542302,33.2,1.65,73.01,0.04,53,101,542302,0,5.16,0,92.83,0,0,0,0.05,0.02,1.94
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL081,409932,409932,35.2,2.07,66.55,0.08,53,101,409932,0,6.1,0,91.49,0,0,0,0.06,0.05,2.3
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL082,599363,599363,35.3,2.69,63.67,0.13,53,101,599363,0,5.26,0,91.69,0.01,0,0,0.11,0.02,2.91
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL083,483017,483017,35,2.39,66.61,0.08,53,101,483017,0,3.34,0,93.72,0,0,0,0,0.08,2.86
Kimball_Project_002,101,190819_A00223_0191_AHF3V3DRXX,18BL151,882458,882458,35.4,3.16,63.7,0.23,54,101,882458,0,0.94,0,95.83,0.01,0,0,0.1,0.04,3.08
