,general-samplename,fastqc-totalsequences
0,18BL076,2325683.0
1,18BL077,1979049.0
2,18BL078,2133355.0
3,18BL079,2674732.0
4,18BL080,2168669.0
5,18BL081,1222949.0
6,18BL082,1653331.0
7,18BL083,1007345.0
8,18BL151,2651848.0
9,18BL152,2225347.0
10,18BL153,2444451.0
11,18BL155,2449713.0
12,18BL156,2605630.0
13,18BL157,2011526.0
14,18BL159,2012974.0
15,18BL160,1960105.0
16,18BL161,2100488.0
17,18BL162,2040137.0
18,18BL163,2169567.0
19,18BL164,2378904.0
20,18BL165,1658358.0
21,18BL166,1909681.0
22,18BL167,1793033.0
23,18BL168,1643760.0
24,18BL169,1682057.0
25,18BL170,1678563.0
26,18BL171,1726360.0
27,18BL172,2018863.0
28,18BL173,1406323.0
29,18BL174,1659209.0
30,18BL175,2089113.0
31,18BL176,1784639.0
32,18BL177,1749117.0
33,18BL178,1630998.0
34,18BL179,1942267.0
35,18BL180,2231190.0
36,18BL181,1539286.0
37,18BL182,1882860.0
38,18BL183,1807416.0
39,18BL186,1702171.0
40,18BL187,2063683.0
41,18BL188,1732850.0
42,18BL191,2129486.0
43,18BL192,2495953.0
44,18BL193,1487133.0
45,18BL196,2105324.0
46,18BL197,2272146.0
47,18BL198,2207749.0
48,18BL199,2351537.0
49,18BL200,2681882.0
50,18BL201,1766080.0
51,18BL202,2122960.0
52,18BL203,2188400.0
53,18BL204,1863182.0
54,18BL205,2259524.0
55,18BL206,1990956.0
56,18BL207,2100207.0
57,18BL208,2477927.0
58,18BL209,235476.0
59,18BL210,2099393.0
60,18BL211,2187883.0
61,18BL212,2348651.0
62,18BL213,2313386.0
63,18BL214,2355039.0
64,18BL215,2626925.0
65,18BL216,2616720.0
66,18BL217,2265612.0
67,18BL218,2233700.0
68,18BL219,2779354.0
69,18BL220,2333454.0
70,18BL221,2735825.0
71,18BL222,2726180.0
72,18BL223,2777719.0
73,18BL224,2719559.0
74,18BL225,2081213.0
75,18BL226,2412271.0
76,18BL227,2140379.0
77,18BL228,1756178.0
78,18BL229,1772604.0
79,18BL230,1773447.0
80,18BL231,1913402.0
81,18BL232,2151040.0
82,18BL233,1511435.0
83,18BL234,1654851.0
84,18BL235,1960106.0
85,18BL236,2008548.0
86,18BL242,1928008.0
87,18BL243,2443185.0
88,18BL244,2342395.0
89,18BL245,2521938.0
90,18BL246,2290495.0
91,18BL247,2449451.0
92,18BL248,2459622.0
93,18BL249,1955683.0
94,18BL250,2182168.0
95,18BL251,2447217.0
96,18BL252,2056261.0
97,18BL253,2374400.0
98,18BL254,2004656.0
99,18BL255,2012308.0
100,18BL256,2653146.0
101,18BL257,1921395.0
102,18BL258,2255908.0
