sample_number,ID,sample_ID_simplified,sample_ID_extended,class
Sample_0846,18BL323,14PD-C10,14PD-C10,Breeding line
Sample_0856,18BL324,14PD-C10,14PD-C10,Breeding line
Sample_1048,14S-PS,14S-PS,14S-PS,Breeding line
Sample_0864,18BL325,14S*PM3/PBM-C3,14S*PM3/PBM-C3,Breeding line
Sample_0872,18BL326,14S*PM3/PBM-C3,14S*PM3/PBM-C3,Breeding line
Sample_0881,18BL327,14S*PM3/PBM-C3,14S*PM3/PBM-C3,Breeding line
Sample_0743,18BL227,14S*PS,14S*PS-C3,Breeding line
Sample_0754,18BL228,14S*PS,14S*PS-C3,Breeding line
Sample_0764,18BL229,14S*PS,14S*PS-C3,Breeding line
Sample_0772,18BL230,14S*PS,14S*PS-C3,Breeding line
Sample_0783,18BL231,14S*PS,14S*PS-C3,Breeding line
Sample_0226,18NS256,Zizania aquatica,Aquatica_species,Natural stand
Sample_0238,18NS257,Zizania aquatica,Aquatica_species,Natural stand
Sample_0250,18NS258,Zizania aquatica,Aquatica_species,Natural stand
Sample_0262,18NS259,Zizania aquatica,Aquatica_species,Natural stand
Sample_0274,18NS260,Zizania aquatica,Aquatica_species,Natural stand
Sample_0194,18NS261,Zizania aquatica,Aquatica_species,Natural stand
Sample_0205,18NS262,Zizania aquatica,Aquatica_species,Natural stand
Sample_0216,18NS263,Zizania aquatica,Aquatica_species,Natural stand
Sample_0227,18NS264,Zizania aquatica,Aquatica_species,Natural stand
Sample_0239,18NS265,Zizania aquatica,Aquatica_species,Natural stand
Sample_0251,18NS266,Zizania aquatica,Aquatica_species,Natural stand
Sample_0263,18NS267,Zizania aquatica,Aquatica_species,Natural stand
Sample_0275,18NS268,Zizania aquatica,Aquatica_species,Natural stand
Sample_0195,18NS269,Zizania aquatica,Aquatica_species,Natural stand
Sample_0206,18NS270,Zizania aquatica,Aquatica_species,Natural stand
Sample_0217,18NS271,Zizania aquatica,Aquatica_species,Natural stand
Sample_0228,18NS272,Zizania aquatica,Aquatica_species,Natural stand
Sample_0240,18NS273,Zizania aquatica,Aquatica_species,Natural stand
Sample_0252,18NS274,Zizania aquatica,Aquatica_species,Natural stand
Sample_0264,18NS275,Zizania aquatica,Aquatica_species,Natural stand
Sample_0276,18NS276,Zizania aquatica,Aquatica_species,Natural stand
Sample_0277,18NS277,Zizania aquatica,Aquatica_species,Natural stand
Sample_0289,18NS278,Zizania aquatica,Aquatica_species,Natural stand
Sample_0301,18NS279,Zizania aquatica,Aquatica_species,Natural stand
Sample_0313,18NS280,Zizania aquatica,Aquatica_species,Natural stand
Sample_0325,18NS281,Zizania aquatica,Aquatica_species,Natural stand
Sample_0336,18NS282,Zizania aquatica,Aquatica_species,Natural stand
Sample_0347,18NS283,Zizania aquatica,Aquatica_species,Natural stand
Sample_0358,18NS284,Zizania aquatica,Aquatica_species,Natural stand
Sample_0278,18NS285,Zizania aquatica,Aquatica_species,Natural stand
Sample_0290,18NS286,Zizania aquatica,Aquatica_species,Natural stand
Sample_0302,18NS287,Zizania aquatica,Aquatica_species,Natural stand
Sample_0314,18NS288,Zizania aquatica,Aquatica_species,Natural stand
Sample_0279,18NS289,Zizania aquatica,Aquatica_species,Natural stand
Sample_0291,18NS290,Zizania aquatica,Aquatica_species,Natural stand
Sample_0303,18NS291,Zizania aquatica,Aquatica_species,Natural stand
Sample_0315,18NS292,Zizania aquatica,Aquatica_species,Natural stand
Sample_0326,18NS293,Zizania aquatica,Aquatica_species,Natural stand
Sample_0337,18NS294,Zizania aquatica,Aquatica_species,Natural stand
Sample_0348,18NS295,Zizania aquatica,Aquatica_species,Natural stand
Sample_0359,18NS296,Zizania aquatica,Aquatica_species,Natural stand
Sample_0280,18NS297,Zizania aquatica,Aquatica_species,Natural stand
Sample_0292,18NS298,Zizania aquatica,Aquatica_species,Natural stand
Sample_0304,18NS299,Zizania aquatica,Aquatica_species,Natural stand
Sample_0316,18NS300,Zizania aquatica,Aquatica_species,Natural stand
Sample_0261,18NS251,Zizania aquatica,AquaticaSpecies,Natural stand
Sample_0273,18NS252,Zizania aquatica,AquaticaSpecies,Natural stand
Sample_0193,18NS253,Zizania aquatica,AquaticaSpecies,Natural stand
Sample_0204,18NS254,Zizania aquatica,AquaticaSpecies,Natural stand
Sample_0215,18NS255,Zizania aquatica,AquaticaSpecies,Natural stand
Sample_0735,18BL151,Barron,Barron-GWMR,Breeding line
Sample_0745,18BL152,Barron,Barron-GWMR,Breeding line
Sample_0756,18BL153,Barron,Barron-GWMR,Breeding line
Sample_0774,18BL163,Barron,BarronIMLQ15,Breeding line
Sample_0785,18BL164,Barron,BarronIMLQ15,Breeding line
Sample_0776,18BL179,Barron,Barron,Breeding line
Sample_0787,18BL180,Barron,Barron,Breeding line
Sample_0797,18BL181,Barron,Barron-Gun91S,Breeding line
Sample_0806,18BL182,Barron,Barron-Gun91S,Breeding line
Sample_0777,18BL183,Barron,Barron-Gun91S,Breeding line
Sample_0789,18BL200,Barron,Barron,Breeding line
Sample_0799,18BL201,Barron,Barron,Breeding line
Sample_0808,18BL202,Barron,Barron,Breeding line
Sample_0740,18BL203,Barron,Barron,Breeding line
Sample_0751,18BL204,Barron,Barron,Breeding line
Sample_0761,18BL205,Barron,Barron,Breeding line
Sample_0769,18BL206,Barron,Barron,Breeding line
Sample_0780,18BL207,Barron,Barron,Breeding line
Sample_0790,18BL208,Barron,Barron,Breeding line
Sample_0800,18BL209,Barron,Barron,Breeding line
Sample_0809,18BL210,Barron,Barron,Breeding line
Sample_0741,18BL211,Barron,Barron,Breeding line
Sample_0833,18BL298,Barron,Barron,Breeding line
Sample_0843,18BL299,Barron,Barron,Breeding line
Sample_0853,18BL300,Barron,Barron,Breeding line
Sample_0327,18NS301,Bass Lake,Bass Lake,Natural stand
Sample_0338,18NS302,Bass Lake,Bass Lake,Natural stand
Sample_0349,18NS303,Bass Lake,Bass Lake,Natural stand
Sample_0360,18NS304,Bass Lake,Bass Lake,Natural stand
Sample_0281,18NS305,Bass Lake,Bass Lake,Natural stand
Sample_0293,18NS306,Bass Lake,Bass Lake,Natural stand
Sample_0305,18NS307,Bass Lake,Bass Lake,Natural stand
Sample_0317,18NS308,Bass Lake,Bass Lake,Natural stand
Sample_0328,18NS309,Bass Lake,Bass Lake,Natural stand
Sample_0339,18NS310,Bass Lake,Bass Lake,Natural stand
Sample_0350,18NS311,Bass Lake,Bass Lake,Natural stand
Sample_0361,18NS312,Bass Lake,Bass Lake,Natural stand
Sample_0282,18NS313,Bass Lake,Bass Lake,Natural stand
Sample_0294,18NS314,Bass Lake,Bass Lake,Natural stand
Sample_0306,18NS315,Bass Lake,Bass Lake,Natural stand
Sample_0318,18NS316,Bass Lake,Bass Lake,Natural stand
Sample_0329,18NS317,Bass Lake,Bass Lake,Natural stand
Sample_0340,18NS318,Bass Lake,Bass Lake,Natural stand
Sample_0351,18NS319,Bass Lake,Bass Lake,Natural stand
Sample_0362,18NS320,Bass Lake,Bass Lake,Natural stand
Sample_0283,18NS321,Bass Lake,Bass Lake,Natural stand
Sample_0295,18NS322,Bass Lake,Bass Lake,Natural stand
Sample_0307,18NS323,Bass Lake,Bass Lake,Natural stand
Sample_0319,18NS324,Bass Lake,Bass Lake,Natural stand
Sample_0330,18NS325,Bass Lake,Bass Lake,Natural stand
Sample_0341,18NS326,Bass Lake,Bass Lake,Natural stand
Sample_0352,18NS327,Bass Lake,Bass Lake,Natural stand
Sample_0363,18NS328,Bass Lake,Bass Lake,Natural stand
Sample_0284,18NS329,Bass Lake,Bass Lake,Natural stand
Sample_0296,18NS330,Bass Lake,Bass Lake,Natural stand
Sample_0308,18NS331,Bass Lake,Bass Lake,Natural stand
Sample_0320,18NS332,Bass Lake,Bass Lake,Natural stand
Sample_0331,18NS333,Bass Lake,Bass Lake,Natural stand
Sample_0342,18NS334,Bass Lake,Bass Lake,Natural stand
Sample_0353,18NS335,Bass Lake,Bass Lake,Natural stand
Sample_0364,18NS336,Bass Lake,Bass Lake,Natural stand
Sample_0285,18NS337,Bass Lake,Bass Lake,Natural stand
Sample_0297,18NS338,Bass Lake,Bass Lake,Natural stand
Sample_0309,18NS339,Bass Lake,Bass Lake,Natural stand
Sample_0321,18NS340,Bass Lake,Bass Lake,Natural stand
Sample_0332,18NS341,Bass Lake,Bass Lake,Natural stand
Sample_0343,18NS342,Bass Lake,Bass Lake,Natural stand
Sample_0354,18NS343,Bass Lake,Bass Lake,Natural stand
Sample_0365,18NS344,Bass Lake,Bass Lake,Natural stand
Sample_0286,18NS345,Bass Lake,Bass Lake,Natural stand
Sample_0298,18NS346,Bass Lake,Bass Lake,Natural stand
Sample_0310,18NS347,Bass Lake,Bass Lake,Natural stand
Sample_0322,18NS348,Bass Lake,Bass Lake,Natural stand
Sample_0333,18NS349,Bass Lake,Bass Lake,Natural stand
Sample_0344,18NS350,Bass Lake,Bass Lake,Natural stand
Sample_0883,18BL250,Big Fork River,BigForkRiver,Natural stand
Sample_0815,18BL251,Big Fork River,BigForkRiver,Natural stand
Sample_0827,18BL252,Big Fork River,BigForkRiver,Natural stand
Sample_0839,18BL253,Big Fork River,BigForkRiver,Natural stand
Sample_0849,18BL254,Big Fork River,BigForkRiver,Natural stand
Sample_0859,18BL255,Big Fork River,BigForkRiver,Natural stand
Sample_0867,18BL256,Big Fork River,BigForkRiver,Natural stand
Sample_0874,18BL257,Big Fork River,BigForkRiver,Natural stand
Sample_0884,18BL258,Big Fork River,BigForkRiver,Natural stand
Sample_0816,18BL259,Big Fork River,BigForkRiver,Natural stand
Sample_0828,18BL260,Big Fork River,BigForkRiver,Natural stand
Sample_0647,18BL337,Big Fork River,BigForkRiver,Natural stand
Sample_0659,18BL338,Big Fork River,BigForkRiver,Natural stand
Sample_0671,18BL339,Big Fork River,BigForkRiver,Natural stand
Sample_0683,18BL340,Big Fork River,BigForkRiver,Natural stand
Sample_0694,18BL341,Big Fork River,BigForkRiver,Natural stand
Sample_0705,18BL342,Big Fork River,BigForkRiver,Natural stand
Sample_0716,18BL343,Big Fork River,BigForkRiver,Natural stand
Sample_0727,18BL344,Big Fork River,BigForkRiver,Natural stand
Sample_0648,18BL345,Big Fork River,BigForkRiver,Natural stand
Sample_0660,18BL346,Big Fork River,BigForkRiver,Natural stand
Sample_0672,18BL347,Big Fork River,BigForkRiver,Natural stand
Sample_0684,18BL348,Big Fork River,BigForkRiver,Natural stand
Sample_0695,18BL349,Big Fork River,BigForkRiver,Natural stand
Sample_0706,18BL350,Big Fork River,BigForkRiver,Natural stand
Sample_0717,18BL351,Big Fork River,BigForkRiver,Natural stand
Sample_0728,18BL352,Big Fork River,BigForkRiver,Natural stand
Sample_0649,18BL353,Big Fork River,BigForkRiver,Natural stand
Sample_0661,18BL354,Big Fork River,BigForkRiver,Natural stand
Sample_0673,18BL355,Big Fork River,BigForkRiver,Natural stand
Sample_0685,18BL356,Big Fork River,BigForkRiver,Natural stand
Sample_0696,18BL357,Big Fork River,BigForkRiver,Natural stand
Sample_0707,18BL358,Big Fork River,BigForkRiver,Natural stand
Sample_0718,18BL359,Big Fork River,BigForkRiver,Natural stand
