sample_number,sample_id,class
Sample_0652,KPVN-C4,Breeding line
Sample_0653,VN/3*K2EF,Breeding line
Sample_0654,Itasca-C12,Breeding line
Sample_0664,KPVN-C4,Breeding line
Sample_0665,VN/3*K2EF,Breeding line
Sample_0666,Itasca-C12,Breeding line
Sample_0676,KPVN-C4,Breeding line
Sample_0677,VN/3*K2EF,Breeding line
Sample_0678,Itasca-C12,Breeding line
Sample_0687,KSVN-C4,Breeding line
Sample_0688,KPVN-C4,Breeding line
Sample_0689,VN/3*K2EF,Breeding line
Sample_0690,Itasca-C12,Breeding line
Sample_0698,KSVN-C4,Breeding line
Sample_0699,K2B-C16,Breeding line
Sample_0700,PLaR-C20,Breeding line
Sample_0701,Itasca-C12,Breeding line
Sample_0709,KSVN-C4,Breeding line
Sample_0710,K2B-C16,Breeding line
Sample_0711,PLaR-C20,Breeding line
Sample_0712,Itasca-C12,Breeding line
Sample_0720,KSVN-C4,Breeding line
Sample_0721,K2B-C16,Breeding line
Sample_0722,PLaR-C20,Breeding line
Sample_0723,Itasca-C12,Breeding line
Sample_0731,KSVN-C4,Breeding line
Sample_0732,K2B-C16,Breeding line
Sample_0733,PLaR-C20,Breeding line
Sample_0734,Itasca-C12,Breeding line
Sample_0735,Barron,Breeding line
Sample_0736,Itasca-C12,Breeding line
Sample_0737,Itasca-C12,Breeding line
Sample_0738,Itasca-C12,Breeding line
Sample_0739,FY-C20,Breeding line
Sample_0740,Barron,Breeding line
Sample_0741,Barron,Breeding line
Sample_0742,PM3E,Breeding line
Sample_0743,14S*PS,Breeding line
Sample_0744,FY-C20,Breeding line
Sample_0745,Barron,Breeding line
Sample_0746,Itasca-C12,Breeding line
Sample_0747,FY-C20,Breeding line
Sample_0748,Itasca-C12,Breeding line
Sample_0749,FY-C20,Breeding line
Sample_0750,K2EFBP-C1,Breeding line
Sample_0751,Barron,Breeding line
Sample_0752,GPB/K2B-C2,Breeding line
Sample_0753,PM3E,Breeding line
Sample_0754,14S*PS,Breeding line
Sample_0755,FY-C20,Breeding line
Sample_0756,Barron,Breeding line
Sample_0757,Itasca-C12,Breeding line
Sample_0758,FY-C20,Breeding line
Sample_0759,Itasca-C12,Breeding line
Sample_0760,K2EFBP-C1,Breeding line
Sample_0761,Barron,Breeding line
Sample_0762,PM3/3*PBM-C3,Breeding line
Sample_0763,PM3E,Breeding line
Sample_0764,14S*PS,Breeding line
Sample_0765,Itasca-C12,Breeding line
Sample_0766,Itasca-C12,Breeding line
Sample_0767,Itasca-C12,Breeding line
Sample_0768,K2EFBP-C1,Breeding line
Sample_0769,Barron,Breeding line
Sample_0770,PM3/3*PBM-C3,Breeding line
Sample_0771,PM3E,Breeding line
Sample_0772,14S*PS,Breeding line
Sample_0773,Itasca-C12,Breeding line
Sample_0774,Barron,Breeding line
Sample_0775,Itasca-C12,Breeding line
Sample_0776,Barron,Breeding line
Sample_0777,Barron,Breeding line
Sample_0778,FY-C20,Breeding line
Sample_0779,K2EFBP-C1,Breeding line
Sample_0780,Barron,Breeding line
Sample_0781,GPN-1.20,Breeding line
Sample_0782,PM3E,Breeding line
Sample_0783,14S*PS,Breeding line
Sample_0784,Itasca-C12,Breeding line
Sample_0785,Barron,Breeding line
Sample_0786,Itasca-C12,Breeding line
Sample_0787,Barron,Breeding line
Sample_0788,FY-C20,Breeding line
Sample_0789,Barron,Breeding line
Sample_0790,Barron,Breeding line
Sample_0791,GPN-1.20,Breeding line
Sample_0792,PM3E,Breeding line
Sample_0793,PM3/7*K2EF,Breeding line
Sample_0794,Itasca-C12,Breeding line
Sample_0795,Itasca-C12,Breeding line
Sample_0796,Itasca-C12,Breeding line
Sample_0797,Barron,Breeding line
Sample_0798,FY-C20,Breeding line
Sample_0799,Barron,Breeding line
Sample_0800,Barron,Breeding line
Sample_0801,GPP-1.20,Breeding line
Sample_0802,PM3E,Breeding line
Sample_0803,VE/2*14WS/*4K2EF,Breeding line
Sample_0804,Itasca-C12,Breeding line
Sample_0805,Itasca-C12,Breeding line
Sample_0806,Barron,Breeding line
Sample_0807,FY-C20,Breeding line
Sample_0808,Barron,Breeding line
Sample_0809,Barron,Breeding line
Sample_0810,GPP-1.20,Breeding line
Sample_0811,PM3E,Breeding line
Sample_0812,FY-C20,Breeding line
Sample_0813,FY-C20,Breeding line
Sample_0814,FY-C20,Breeding line
Sample_0817,Itasca-C12,Breeding line
Sample_0818,FY-C20,Breeding line
Sample_0819,FY-C20,Breeding line
Sample_0820,Itasca-C20,Breeding line
Sample_0821,Itasca-C12,Breeding line
Sample_0822,GPB/K2B-C2,Breeding line
Sample_0823,GPP-1.20,Breeding line
Sample_0824,PM3E,Breeding line
Sample_0825,PM3/7*K2EF,Breeding line
Sample_0826,FY-C20,Breeding line
Sample_0829,Itasca-C12,Breeding line
Sample_0830,FY-C20,Breeding line
Sample_0831,FY-C20,Breeding line
Sample_0832,Itasca-C20,Breeding line
Sample_0833,Barron,Breeding line
Sample_0834,PM3/3*PBM-C3,Breeding line
Sample_0835,PM3E,Breeding line
Sample_0836,PM3E,Breeding line
Sample_0838,FY-C20,Breeding line
Sample_0840,FY-C20,Breeding line
Sample_0841,FY-C20,Breeding line
Sample_0842,Itasca-C20,Breeding line
Sample_0843,Barron,Breeding line
Sample_0844,PM3/3*PBM-C3,Breeding line
Sample_0845,PM3E,Breeding line
Sample_0846,14PD-C10,Breeding line
Sample_0847,VE/2*14WS/*4K2EF,Breeding line
Sample_0848,FY-C20,Breeding line
Sample_0850,FY-C20,Breeding line
Sample_0851,FY-C20,Breeding line
Sample_0852,Itasca-C20,Breeding line
Sample_0853,Barron,Breeding line
Sample_0854,PM3/3*PBM-C3,Breeding line
Sample_0855,PM3E,Breeding line
Sample_0856,14PD-C10,Breeding line
Sample_0857,FY-C20,Breeding line
Sample_0858,FY-C20,Breeding line
Sample_0860,Itasca-C20,Breeding line
Sample_0861,Itasca-C20,Breeding line
Sample_0862,PM3/3*PBM-C3,Breeding line
Sample_0863,PM3E,Breeding line
Sample_0864,14S*PM3/PBM-C3,Breeding line
Sample_0866,FY-C20,Breeding line
Sample_0868,Itasca-C20,Breeding line
Sample_0869,Itasca-C20,Breeding line
Sample_0870,GPP-1.20,Breeding line
Sample_0871,PM3E,Breeding line
Sample_0872,14S*PM3/PBM-C3,Breeding line
Sample_0875,FY-C20,Breeding line
Sample_0876,Itasca-C20,Breeding line
Sample_0877,Itasca-C20,Breeding line
Sample_0878,K2EFBP-C1,Breeding line
Sample_0879,GPP-1.20,Breeding line
Sample_0880,PM3E,Breeding line
Sample_0881,14S*PM3/PBM-C3,Breeding line
Sample_0886,FY-C20,Breeding line
Sample_0887,Itasca-C20,Breeding line
Sample_0888,Itasca-C12,Breeding line
Sample_0889,GPB/K2B-C2,Breeding line
Sample_0890,GPP-1.20,Breeding line
Sample_0891,PM3E,Breeding line
Sample_0892,PM3/7*K2EF,Breeding line
Sample_0894,K2EF-C16,Breeding line
Sample_0895,K2EF-C16,Breeding line
Sample_0896,K2EF-C16,Breeding line
